company_name,letter_date,application_number,product_type,file_name,ticker,market_reaction_date,announcement_time,market_cap_group,alive_ticker,keep_for_v2,exclude_reason,verification_notes
"Nanocopoeia, LLC",06/14/2024,NDA 217379,COMPLETE RESPONSE,CRL_NDA217379_20240614.pdf,,,,,,,,
"Regeneron Pharmaceuticals, Inc.",08/20/2024,BLA 761400,COMPLETE RESPONSE,CRL_BLA761400_20240820.pdf,,,,,,,,
"Elevar Therapeutics, Inc.",05/16/2024,NDA 216586,COMPLETE RESPONSE,CRL_NDA216586_20240516.pdf,,,,,,,,
Scienture Inc.,08/19/2024,NDA 218772,COMPLETE RESPONSE,218772_2025_Orig1s000OtherActionLtrs.pdf,,,,,,,,
"Daiichi Sankyo, Inc.",06/26/2024,BLA 761366,COMPLETE RESPONSE,CRL_BLA761366_20240626.pdf,,,,,,,,
Accord BioPharma Inc.,10/29/2024,BLA 761147,COMPLETE RESPONSE,CRL_BLA761147_20241029.pdf,,,,,,,,
Dr. Reddy’s Laboratories SA,04/19/2024,BLA 761376,COMPLETE RESPONSE,CRL_BLA761376_20240419.pdf,,,,,,,,
Sun Pharmaceutical Industries Limited,10/25/2024,NDA 215644,COMPLETE RESPONSE,CRL_NDA215644_20241025.pdf,,,,,,,,
Accord Healthcare Inc.,01/30/2024,NDA 218470,COMPLETE RESPONSE,CRL_NDA218470_20240130.pdf,,,,,,,,
Meitheal Pharmaceuticals Inc.,12/11/2024,NDA 212271,COMPLETE RESPONSE,CRL_NDA212271_20241211.pdf,,,,,,,,
"Hikma Pharmaceuticals USA, Inc.",01/23/2024,NDA 218258,COMPLETE RESPONSE,CRL_NDA218258_20240123.pdf,,,,,,,,
Fidelity BioPharma Co.,03/29/2024,NDA 216190,COMPLETE RESPONSE,216190Orig1s000OtherActionLtrs.pdf,,,,,,,,
"Azurity Pharmaceuticals, Inc.",11/04/2024,NDA 219122,COMPLETE RESPONSE,219122Orig1s000OtherActionLtrs.pdf,,,,,,,,
"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",05/16/2024,BLA 761308,COMPLETE RESPONSE,CRL_BLA761308_20240516.pdf,,,,,,,,
"NeuroDerm, Ltd.",05/24/2024,NDA 218317,COMPLETE RESPONSE,CRL_NDA218317_20240524.pdf,,,,,,,,
"Amneal EU, Ltd.",07/01/2024,NDA 218345,COMPLETE RESPONSE,CRL_NDA218345_20240701.pdf,,,,,,,,
Baxter Healthcare Corporation,03/27/2024,NDA 218408,COMPLETE RESPONSE,CRL_NDA218408_20240327.pdf,,,,,,,,
Accord BioPharma Inc.,04/05/2024,BLA 761147,COMPLETE RESPONSE,CRL_BLA761147_20240405.pdf,,,,,,,,
"Conjupro Biotherapeutics, Inc.",10/10/2024,NDA 218923,COMPLETE RESPONSE,CRL_NDA218923_20241010.pdf,,,,,,,,
Accord Healthcare Inc.,05/10/2024,NDA 216987,COMPLETE RESPONSE,CRL_NDA216987_20240510.pdf,,,,,,,,
RB Health (US) LLC,07/26/2024,NDA 217338,COMPLETE RESPONSE,CRL_NDA217338_20240726.pdf,,,,,,,,
Xspray Pharma AB,07/25/2024,NDA 216195,COMPLETE RESPONSE,CRL_NDA216195_20240725.pdf,,,,,,,,
"Applied Therapeutics, Inc.",11/27/2024,NDA 219195,COMPLETE RESPONSE,CRL_NDA219195_20241127.pdf,,,,,,,,
Celltrion Inc.,09/30/2024,BLA 761338,COMPLETE RESPONSE,761338Orig1Orig2s000OtherActionLtrs.pdf,,,,,,,,
"Zealand Pharma US, Inc.",10/08/2024,NDA 217724/Original 1,COMPLETE RESPONSE,CRL_NDA217724_20241008.pdf,,,,,,,,
"Elevar Therapeutics, Inc.",03/20/2025,NDA 216586,COMPLETE RESPONSE,CRL_NDA216586_20250320.pdf,,,,,,,,
Stealth BioTherapeutics Inc.,05/15/2025,NDA 215244,COMPLETE RESPONSE,CRL_NDA215244_20250515.pdf,,,,,,,,
Saol International Development Limited,08/27/2025,NDA 218679,COMPLETE RESPONSE,CRL_NDA218679_20250827.pdf,,,,,,,,
Telix Pharmaceuticals (US) Inc.,04/25/2025,NDA 218592,COMPLETE RESPONSE,CRL_NDA218592_20250425.pdf,,,,,,,,
Dr. Reddy’s Laboratories SA,10/16/2025,BLA 761376,COMPLETE RESPONSE,CRL_BLA761376_20251016.pdf,,,,,,,,
"PTC Therapeutics, Inc.",08/18/2025,NDA 220049,COMPLETE RESPONSE,CRL_NDA220049_20250818.pdf,,,,,,,,
"Teva Pharmaceuticals, Inc.",07/30/2025,BLA 761385,COMPLETE RESPONSE,CRL_BLA761385_20250730.pdf,,,,,,,,
"Shanghai Auzone Biological Technology Co., Ltd.",10/23/2025,NDA 219846,COMPLETE RESPONSE,CRL_NDA219846_20251023.pdf,,,,,,,,
GlaxoSmithKline LLC,12/16/2025,BLA 761458/Original 2,COMPLETE RESPONSE,CRL_BLA761458_20251216.pdf,,,,,,,,
"Outlook Therapeutics, Inc.",12/30/2025,BLA 761320,COMPLETE RESPONSE,CRL_BLA761320_20251230.pdf,,,,,,,,
Accord Healthcare Inc.,11/06/2025,NDA 216987,COMPLETE RESPONSE,CRL_NDA216987_20251106.pdf,,,,,,,,
"Biogen, Inc.",09/22/2025,NDA 209531/S-016,COMPLETE RESPONSE,CRL_NDA209531_20250922.pdf,,,,,,,,
"Biohaven Therapeutics, Ltd.",11/04/2025,NDA 210862,COMPLETE RESPONSE,CRL_NDA210862_20251104.pdf,,,,,,,,
"Jiangsu Hengrui Pharmaceuticals Co., Ltd",03/20/2025,BLA 761308,COMPLETE RESPONSE,CRL_BLA761308_20250320.pdf,,,,,,,,
"Regeneron Pharmaceuticals, Inc.",07/30/2025,BLA 761303,COMPLETE RESPONSE,CRL_BLA761303_20250730.pdf,,,,,,,,
"Cipla USA, Inc.",06/20/2025,NDA 210168,COMPLETE RESPONSE,CRL_NDA210168_20250620.pdf,,,,,,,,
Sandoz Inc.,12/09/2025,BLA 761271,COMPLETE RESPONSE,CRL_BLA761271_20251209.pdf,,,,,,,,
Ultragenyx Pharmaceutical Inc.,07/07/2025,BL 125845,COMPLETE RESPONSE,CRL_BLA125845_20250707.pdf,,,,,,,,
"Sentynl Therapeutics, Inc.",09/30/2025,NDA 211241,COMPLETE RESPONSE,CRL_NDA211241_20250930.pdf,,,,,,,,
"Laurus Generics, Inc.",03/10/2025,NDA 217719,COMPLETE RESPONSE,CRL_NDA217719_20250310.pdf,,,,,,,,
